,userId,id,rating,original_title,predicted_rating
0,1,1371,2.5,Rocky III,
47,1,1405,1.0,Greed,
93,1,2105,4.0,American Pie,
140,1,2193,2.0,My Tutor,
182,1,2294,2.0,Jay and Silent Bob Strike Back,
235,1,2455,2.5,Vivement dimanche!,
282,2,17,5.0,The Dark,
368,2,62,3.0,2001: A Space Odyssey,
455,2,110,4.0,Trois couleurs : Rouge,
683,2,144,3.0,Der Himmel über Berlin,
709,2,150,5.0,48 Hrs.,
909,2,153,4.0,Lost in Translation,
1038,2,161,3.0,Ocean's Eleven,
1118,2,165,3.0,Back to the Future Part II,
1260,2,168,3.0,Star Trek IV: The Voyage Home,
1303,2,185,3.0,A Clockwork Orange,
1405,2,186,3.0,Lucky Number Slevin,
1453,2,222,5.0,Berlin: Die Sinfonie der Grosstadt,
1475,2,223,1.0,Rebecca,
1584,2,225,3.0,Czlowiek z zelaza,
1636,2,235,3.0,Stand by Me,
1714,2,248,3.0,Pocketful of Miracles,
1727,2,253,4.0,Live and Let Die,
1852,2,261,4.0,Cat on a Hot Tin Roof,
1903,2,265,5.0,Lili Marleen,
1965,2,266,5.0,Le Mépris,
2038,2,272,3.0,Batman Begins,
2077,2,273,4.0,Das weisse Rauschen,
2104,2,292,3.0,Dave Chappelle's Block Party,
2214,2,296,4.0,Terminator 3: Rise of the Machines,
2538,2,300,3.0,La science des rêves,
2628,2,314,4.0,Catwoman,
2645,2,317,2.0,Grbavica,
2715,2,319,1.0,True Romance,
2753,2,339,3.0,Night on Earth,
2854,2,349,4.0,Crustacés et coquillages,
2969,2,350,4.0,The Devil Wears Prada,
3039,2,364,3.0,Batman Returns,
3239,2,377,3.0,A Nightmare on Elm Street,
3419,2,405,2.0,La strada,
3435,2,410,3.0,Sommer vorm Balkon,
3508,2,454,4.0,Romeo + Juliet,
3618,2,457,3.0,Sissi,
3831,2,468,4.0,My Own Private Idaho,
3864,2,480,4.0,Monsoon Wedding,
4138,2,497,3.0,The Green Mile,
4198,2,500,4.0,Reservoir Dogs,
4351,2,508,4.0,Love Actually,
4437,2,509,4.0,Notting Hill,
4515,2,527,4.0,Once Were Warriors,
4759,2,537,4.0,Je ne suis pas là pour être aimé,
4769,2,539,3.0,Psycho,
4894,2,550,3.0,Fight Club,
4905,2,551,5.0,The Poseidon Adventure,
4995,2,552,3.0,Pane e Tulipani,
5045,2,585,5.0,"Monsters, Inc.",
5086,2,586,3.0,Wag the Dog,
5215,2,587,3.0,Big Fish,
5341,2,588,3.0,Silent Hill,
5556,2,590,5.0,The Hours,
5758,2,592,5.0,The Conversation,
5954,2,593,3.0,Солярис,
6258,2,616,3.0,The Last Samurai,
6300,2,661,4.0,Die Ehe der Maria Braun,
6353,3,247,3.5,The Killing,
